,Abbreviation,Word
281,Anthropol. ,"anthropology, anthropological"
282,Applic. ,application(s)
283,Archaeol. ,"archaeology, archaeological"
284,Archipel. ,archipelago
285,Archit. ,"architecture, architectural"
286,Arithm. ,"arithmetic, arithmetical"
287,Arrangem. ,arrangement
288,Artific. ,artificial
289,Artill. ,artillery
290,Assemb. ,"assembly, assemblies"
291,Bacteriol.,"bacteriology, bacteriologic(al)"
292,Bedford. ,Bedfordshire
293,Bedfordsh. ,Bedfordshire
294,Bel & Dr. ,(in the Apocrypha) Bel and the Dragon
295,Berksh. ,Berkshire
296,Berwicksh. ,Berwickshire
297,Bibliogr. ,bibliography
298,Biochem. ,"biochemistry, biochemical"
299,c.,century
300,C. ,"county, counties"
301,c ,(in dates) circa
302,Cal. ,calendar
303,Calc. ,calculus
304,Calligr. ,calligraphy
305,Campanol. ,campanology
306,Canterb. ,Canterbury
307,Cartogr. ,"cartography, cartographic(al)"
308,Catech. ,catechism
309,Certif. ,certificate
310,Charac. ,character
311,Chem. Engin. ,chemical engineering
312,Ch. Hist. ,Church history
313,Chronol. ,chronology
314,Chrons. ,chronicles
315,Cinematogr. ,"cinematography, cinematographic(al)"
316,Civ. Law ,civil law
317,Civil Engin. ,civil engineering
318,Class. Antiq.,classical antiquities
319,Classif. ,classification
320,Climatol. ,climatology
321,cogn. w. ,cognate with
322,Coll. ,"  collected, collection"
323,Coll. ,  college
324,Com. ,  common
325,Com. ,  commission
326,Comb. ,  combination(s)
327,comb. form,combining form
328,Commandm. ,commandment
329,Commend. ,commendation
330,Commerc. ,commercial
331,Commiss. ,commission
332,Comm. Law ,commercial law
333,Commonw. ,commonwealth
334,Communic. ,communication(s)
335,Compan. ,companion(s)
336,Comp. Anat. ,comparative anatomy
337,compar. ,comparative
338,Compar. ,comparative
339,Compend. ,"compendium, compendious"
340,Compos. ,composition
341,Confid. ,confidential
342,Confut. ,confutation
343,Congreg. ,congregation
344,Congress. ,congressional
345,Consecr. ,"consecrated, consecration"
346,Consid. ,consideration(s)
347,Consol. ,consolation
348,Constit. Hist. ,constitutional history
349,Constit. ,constitution(al)
350,Constr. ,construction
351,Contemp. ,contemporary
352,Contempl. ,contemplation
353,contempt. ,contemptuous(ly)
354,Contend. ,contending(s)
355,Content. ,contention
356,Contin. ,continuation
357,Contradict. ,contradiction
358,Contrib. ,contribution
359,Controv. ,controversial
360,Controv. ,controversy
361,Convent. ,convention
362,Conversat. ,conversation
363,Convoc. ,convocation
364,corresp. ,corresponding (to)
365,Corresp. ,correspondence
366,Courtsh. ,courtship
367,Craniol. ,craniology
368,Craniom. ,craniometry
369,Crim. Law ,criminal law
370,Cryptogr. ,cryptography
371,Crystallogr. ,crystallography
372,Cumberld. ,Cumberland
373,Cumbld. ,Cumberland
374,Dan.,(in the Bible) Daniel
375,dat. ,dative
